row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,15_N_GA7_1_23828.mzML Peak area,44_N_BD7_1_23810.mzML Peak area,42_N_BB1_1_23779.mzML Peak area,54_N_BD8_1_23811.mzML Peak area,45_N_BC2_1_23788.mzML Peak area,48_N_BC6_1_23800.mzML Peak area,QC2_N_BB7_1_23799.mzML Peak area,47_N_BE7_1_23819.mzML Peak area,36_N_BE6_1_23818.mzML Peak area,17_N_GB4_1_23833.mzML Peak area,QC5_N_BB7_1_23820.mzML Peak area,6_N_GA5_1_23826.mzML Peak area,25_N_GB1_1_23830.mzML Peak area,50_N_GB8_1_23838.mzML Peak area,48_N_BC6_1_23793.mzML Peak area,49_N_BE4_1_23816.mzML Peak area,14_N_BB8_1_23786.mzML Peak area,52_N_BC5_1_23791.mzML Peak area,33_N_GB6_1_23836.mzML Peak area,31_N_BC1_1_23794.mzML Peak area,19_N_BE2_1_23814.mzML Peak area,26_N_BE1_1_23812.mzML Peak area,46_N_BC4_1_23797.mzML Peak area,41_N_GB7_1_23837.mzML Peak area,35_N_BC7_1_23801.mzML Peak area,13_N_BD5_1_23808.mzML Peak area,37_N_BB6_1_23784.mzML Peak area,39_N_GA8_1_23829.mzML Peak area,43_N_BD6_1_23809.mzML Peak area,32_N_BD1_1_23803.mzML Peak area,51_N_GB5_1_23835.mzML Peak area,52_N_BC5_1_23798.mzML Peak area,QC3_N_BB7_1_23806.mzML Peak area,2_N_BB3_1_23781.mzML Peak area,29_N_BD3_1_23805.mzML Peak area,30_N_GB3_1_23832.mzML Peak area,9_N_GA3_1_23824.mzML Peak area,23_N_BB2_1_23780.mzML Peak area,31_N_BC1_1_23787.mzML Peak area,QC4_N_BB7_1_23813.mzML Peak area,18_N_BC8_1_23802.mzML Peak area,8_N_BB5_1_23783.mzML Peak area,24_N_GB2_1_23831.mzML Peak area,45_N_BC2_1_23795.mzML Peak area,11_N_BE8_1_23821.mzML Peak area,12_N_BD4_1_23807.mzML Peak area,QC8_N_BB7_1_23839.mzML Peak area,46_N_BC4_1_23790.mzML Peak area,QC1_N_BB7_1_23785.mzML Peak area,38_N_GA4_1_23825.mzML Peak area,27_N_BB4_1_23782.mzML Peak area,7_N_BE5_1_23817.mzML Peak area,20_N_GA1_1_23822.mzML Peak area,21_N_BE3_1_23815.mzML Peak area,3_N_BD2_1_23804.mzML Peak area,1_N_BC3_1_23796.mzML Peak area,QC7_N_BB7_1_23834.mzML Peak area,5_N_GA2_1_23823.mzML Peak area,QC6_N_BB7_1_23827.mzML Peak area,
599,213.11328201171222,9.5422325,,,,,,,,,,,1798.4307,3868.3103,3713.9395,3214.0864,937.22784,1623.8998,4675.476,5977.003,3991.5044,4605.672,4894.3354,5311.0884,1627.0156,3182.842,1584.4958,0,4231.6924,1130.1112,2519.3633,2952.4805,7172.4727,1392.7695,3200.0156,3606.635,5012.542,1422.1196,2460.2424,4976.133,3081.149,5043.4907,422.12198,1167.464,4615.68,2992.8198,2519.989,1474.4056,2581.8093,3877.1326,2911.8293,4427.785,3189.7756,4767.7227,3648.1653,1520.4088,3574.9001,2036.2482,4726.8716,3143.87,4536.1826,3000.556,3197.3015,4470.9624,6972.7603,6719.665,2392.5413,4028.4363,4287.024,3683.2734,4822.9663,
600,213.11361010825254,8.9279375,,,,,,,,,,,999.21295,727.4892,962.62854,859.59265,1027.5339,1013.0003,1225.3516,787.2313,986.3607,921.3566,957.4107,925.84674,921.2236,674.39197,672.8927,1988.6047,877.75543,793.56946,695.5852,841.84625,1124.0728,918.6671,793.73505,1077.3143,873.9058,738.04517,1033.8173,1075.7863,951.62726,878.14716,675.48694,659.13855,1483.5912,942.8131,874.46783,1496.0625,831.7716,1093.3949,1140.785,1200.6927,682.71,831.6633,1015.2018,989.3024,864.49554,880.0273,1076.3431,1087.5135,1025.2582,943.0496,1206.0973,876.15967,830.25525,895.7447,1138.6582,865.5374,1084.4442,932.7114,996.4739,
601,213.14874667594447,15.147803,,,,,,,,,,,1530.3732,1596.2056,1927.2157,2020.3396,1557.5774,1786.9116,1855.2302,1378.6301,1844.1588,1507.6537,1812.0099,1978.8435,2086.2976,1610.736,1748.6324,1684.7332,1602.193,1577.9424,1512.5696,1711.1178,1496.9392,1560.7327,1629.0728,1608.5902,2101.8281,1500.7218,1750.8785,1660.4358,1570.6809,1528.0693,1384.5702,1677.2322,1763.2528,1727.2906,1659.3762,2480.0889,1595.0165,2004.6897,1693.0452,1890.3905,1852.8262,1524.0392,2000.0477,1512.7742,1508.2706,1922.0028,1750.4631,1602.4989,1881.5977,1589.4537,1843.4319,1661.6046,1474.157,1608.1157,1450.1655,1662.893,1812.4048,2114.891,1788.9952,
602,213.14877091709727,11.358595,,,,,,,,,,,3650.7112,2145.6213,1209.8044,920.59076,1918.6608,4555.8213,2501.1284,2279.6018,1943.8656,1782.8635,2718.2744,1430.3179,1850.5702,1164.6927,2993.5576,3505.0315,975.9931,807.5346,1951.9214,1785.3562,2032.397,1619.1704,1237.2367,1918.474,1496.4321,1535.5687,2384.056,2393.7566,2066.423,2284.7659,750.7742,833.4234,2411.9656,1293.533,1654.7935,1424.7502,1050.6692,1580.2167,1655.6194,2618.8384,1458.2085,0,2155.1978,1956.1191,1465.8368,1222.4302,2697.5447,1150.1921,2346.4185,5268.982,1675.8087,1691.7567,5270.197,2567.8752,1381.3712,3393.1155,2798.8313,1568.8229,2683.7712,
603,213.14916176583034,10.8739805,,,,,,,,,,,9257.536,6826.579,2643.9143,0,12656.504,71483.05,16956.09,21391.598,6362.6104,5108.6455,17987.826,2530.6792,1695.6631,0,67200.14,0,5606.268,0,4902.466,27408.137,30550.916,5458.6484,8700.5625,3838.3853,13522.959,4041.8508,6497.1885,6469.668,14090.395,30183.744,0,0,17352.832,9504.52,2437.7124,2440.4463,3407.3958,38684.742,26579.254,17544.248,6013.705,1660.2137,28563.516,12897.353,6747.223,2061.1016,17557.623,8325.753,15236.38,5785.151,14495.759,4216.958,66741.54,28635.355,7552.9043,7961.8003,18239.459,14565.309,17966.812,
604,213.14917441083492,10.688267,,,,,,,,,,,7085.475,3693.4795,2842.2773,0,6691.625,14437.894,14833.691,6682.585,8995.152,7324.4985,15938.592,6320.961,20404.95,0,13774.635,0,5323.905,0,5421.6597,17668.041,30433.744,8823.019,5087.2554,5186.1377,10810.53,6232.088,4854.1943,5493.436,6632.038,17747.84,0,0,15416.811,8132.9175,3552.0059,20019.006,3395.286,32124.385,17338.285,15629.797,6593.368,0,43781.004,6880.217,5805.058,1754.5892,15711.185,4693.2104,13728.958,4447.5874,11744.704,4837.0303,48832.926,56631.867,8499.436,8658.199,16040.813,13113.017,15864.757,
605,213.96346219097856,6.7184277,,,,,,,,,,,5836.199,1452.0624,0,7919.135,1010.4046,781.12067,5764.1685,2003.8306,2505.2153,0,6026.7773,3307.0356,816.60406,9136.105,718.69574,2122.9182,3700.501,15529.865,1113.0609,1573.0459,1338.4554,1872.6987,1277.4352,0,0,4458.9565,2082.0105,3139.0256,1908.382,1700.2297,15020.754,15437.251,5936.892,4665.288,1542.528,1590.4889,5345.997,0,1514.7224,5953.913,0,5262.9023,800.5828,1003.5429,6480.412,2346.4463,6285.845,1217.5967,5411.8857,3485.0244,1367.6371,4490.1514,1067.8577,2461.564,3846.5764,4847.2944,6048.5874,4862.9316,6106.764,
606,213.99206408974976,1.5525253,,,,,,,,,,,0,0,0,0,1379.0527,1932.1857,0,0,3114.7817,3707.9348,0,1590.2861,3837.137,0,1951.7164,0,3078.5154,0,2565.5374,3811.0637,6700.7417,0,2055.5574,2270.3528,4390.2007,4173.8887,3888.9856,2550.029,3590.8748,8072.6855,0,0,0,0,5547.3916,3895.5276,2675.253,4506.187,3998.0312,0,2829.326,858.8241,2935.3335,1369.4227,1333.587,1120.0372,0,2028.7177,0,4383.3457,3598.4087,2551.7378,4034.6448,5566.682,5617.9756,7056.024,0,8074.5054,0,
607,213.99255881837175,1.8664361,,,,,,,,,,,5820.554,2248.0884,1595.2606,0,5254.5186,4619.1875,5903.69,7004.1904,5214.225,4328.6187,5659.1387,3805.9834,5535.89,0,4414.733,0,5140.5337,0,4712.7603,5835.645,6442.901,6365.8574,4459.1216,4210.263,4935.7305,5727.2866,5453.9287,4304.1924,5459.99,6281.242,0,0,5627.408,7682.529,6761.281,5726.097,5017.6313,7176.6855,5870.876,5898.9526,4083.9448,3103.243,5221.354,5013.125,3034.6887,3906.2751,5622.4023,4600.222,5916.975,5371.8447,6238.192,4279.527,5646.45,5993.6973,5091.252,5038.689,5452.3584,5785.549,5540.7764,
608,214.04864817532047,1.1856335,,,,,,,,,,,6974.7905,2919.3787,3938.3352,0,9421.854,7984.697,2285.3088,9398.496,1687.3402,2842.7747,2413.8005,2880.856,0,0,8009.1577,0,5832.491,0,0,2880.0496,5557.9297,0,8086.6494,3713.2117,0,6672.154,2524.7173,3759.3225,8133.3467,1161.0438,0,0,2297.921,3190.0579,0,0,4233.784,6408.1416,2729.2847,2410.7917,1578.9487,1869.6449,6025.0303,9617.557,4052.533,7198.8057,2402.0989,7760.483,2281.283,2131.1533,5187.0874,3164.4478,5049.262,5766.077,2880.7595,2000.096,2489.5444,3498.4602,2475.9058,
609,214.10815239321923,16.02196,,,,,,,,,,,0,2073.6636,2173.924,0,0,0,1400.8658,2579.593,1757.3247,2071.549,1543.2181,3185.3862,0,0,0,0,1190.34,0,966.9492,0,2386.9146,0,1029.9169,1729.0115,1486.5776,0,0,1937.8585,1343.5109,1691.9592,0,0,1470.4801,1057.8932,0,343.97974,977.693,0,0,1594.0059,1236.554,0,875.661,0,1381.0209,711.58185,1740.206,1108.04,1297.744,0,0,2247.9102,2163.1848,2521.0693,0,1733.2739,1650.7423,1404.7444,1654.3955,
610,214.1080710638944,5.769849,,,,,,,,,,,622.612,2329.6958,2447.3486,2152.841,0,0,0,0,0,0,2532.21,0,0,2066.8206,0,1306.002,2400.8796,824.4903,0,0,3116.6814,0,0,0,0,0,0,0,0,0,0,783.2271,0,0,0,0,0,0,0,0,0,2298.8137,0,0,0,0,2482.959,0,0,0,0,0,2779.1875,0,0,0,0,0,0,
611,214.10804575695227,5.6241965,,,,,,,,,,,0,0,0,8527.177,0,0,44017.688,21403.105,41896.598,52542.95,45222.43,15708.236,0,2863.9182,0,0,0,629.54254,0,0,0,2590.3286,28929.25,0,0,0,14567.75,0,0,0,0,601.8555,43194.766,0,30351.504,15166.171,0,0,0,44130.09,0,8983.688,22093.24,0,0,0,45577.6,29393.486,42099.555,23327.762,0,0,0,0,18262.896,0,0,0,0,
612,214.10806411701157,5.361806,,,,,,,,,,,792.7185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543.832,0,0,1871.1558,0,0,0,0,2738.4272,2721.5508,0,0,0,0,2257.3228,0,0,0,0,0,0,0,1487.0143,1284.1028,0,1732.1526,0,0,0,2099.608,0,0,0,0,0,1916.2361,0,2748.7625,0,0,2298.3447,0,1999.457,0,
613,214.1080539453877,5.6749167,,,,,,,,,,,3138.1924,20099.951,9460.856,0,4737.8647,0,0,0,0,0,0,0,0,0,0,1045.9462,19910.654,0,25917.354,23772.467,28314.764,0,0,50298.527,52593.45,5029.5034,0,34429.83,37558.285,36414.395,0,0,0,19809.902,0,0,19273.312,23156.299,23649.965,0,32991.01,0,0,4859.0874,19724.668,19706.182,0,0,0,0,31325.156,6107.5576,35048.414,50154.133,0,30275.46,45230.35,39194.96,44731.82,
614,214.10811853196122,6.1225257,,,,,,,,,,,8773.359,21668.562,14736.049,24791.777,4810.237,0,25259.416,14976.301,23283.572,25714.203,25889.87,17887.836,0,33630.53,0,28276.605,6569.412,18926.47,23660.504,14310.934,11956.555,4920.095,19092.416,31409.758,29284.574,2903.7139,10754.769,30380.723,25471.445,20093.662,4329.48,19502.719,24231.186,18074.682,21442.285,9410.271,16945.03,18877.621,13834.604,24711.338,20172.21,10265.061,13555.676,5070.084,18461.85,13124.506,25928.44,18954.1,23012.18,18609.219,27245.678,18879.957,25712.242,24843.49,23183.342,23619.736,25262.059,22401.379,25019.3,
615,214.10815263588518,5.2814655,,,,,,,,,,,0,0,0,2395.3916,0,0,2379.5154,0,0,2607.6736,2531.2764,3796.0005,0,2609.8418,0,0,0,1020.69244,0,0,0,0,1771.2246,0,0,0,0,0,0,0,0,1030.6022,2315.5027,0,1595.8815,674.2843,0,0,0,2357.272,0,0,1269.53,0,0,0,2483.0605,1676.0084,2241.406,1418.6525,0,0,0,0,2206.7427,0,0,0,0,
616,214.1081964417637,15.76111,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3430.955,0,0,0,0,0,0,0,1881.4736,0,0,0,0,0,0,0,1011.379,4075.0864,2931.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
617,214.10827763299508,15.667536,,,,,,,,,,,0,4250.115,4506.8315,2464.784,0,0,3051.2905,5488.6475,3657.8208,4312.376,0,6750.7847,0,2666.0527,0,0,2544.9312,0,0,1156.3282,5088.7817,0,2126.5093,3653.8032,3241.6646,0,0,0,0,3677.3372,0,0,3121.4812,2250.7815,1860.9261,0,2125.3152,1359.3651,1084.505,3095.6494,2613.0518,3434.8196,1866.3345,0,2861.8186,1558.7213,3590.5786,2136.348,2738.1587,1527.4359,1704.6433,4609.206,4953.882,5179.043,2084.454,3454.369,3600.2314,2876.4958,3406.2217,
618,214.14415989492144,8.546505,,,,,,,,,,,36406.062,119379.35,128693.19,134709.86,27721.79,9821.89,108184.04,142055.39,125323.36,123953.04,116151.99,166336.28,11706.174,139541.2,9568.228,81246.0,106161.25,49042.715,73848.63,54779.223,145730.73,27555.367,79214.19,112498.64,97053.05,17311.873,44040.926,126192.73,97424.74,94547.42,12932.489,52685.082,112331.79,58521.08,75194.94,38975.223,72011.95,64358.03,55831.703,115352.09,81397.38,112099.016,63609.668,27857.838,80600.03,54635.848,112954.71,73212.8,102761.086,63943.574,83532.164,113665.16,134160.17,150173.72,71788.625,83763.05,113757.74,78592.56,113523.63,
619,214.1443454861173,8.745606,,,,,,,,,,,2615.5967,0,0,0,0,756.2834,0,0,0,0,0,0,835.6752,0,571.35834,0,0,0,0,0,0,2085.409,0,0,0,1036.4502,0,0,0,0,0,0,0,0,0,2459.6157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
620,215.03191576234667,1.5370666,,,,,,,,,,,0,0,7117.8823,0,2198.4575,0,1247.0159,0,0,0,1266.2322,1532.2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.2062,0,0,0,2525.3467,0,0,1270.2076,0,0,0,0,0,1465.1383,1124.1855,0,1077.4767,0,0,0,0,0,0,0,1213.0275,0,1306.994,
621,215.0318807360084,1.7285256,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.6097,0,0,2779.5366,0,0,0,0,0,930.5294,0,0,0,0,0,0,0,2350.086,0,1282.0809,0,0,6162.709,0,0,5447.4243,0,0,2366.1218,0,2114.04,0,5249.0522,0,0,1803.4751,941.13226,0,429.94568,0,
622,215.03251948822088,1.2167512,,,,,,,,,,,13568.097,2592.462,60698.72,0,21345.424,5950.989,51683.453,3821.8796,6788.6836,22131.365,51756.25,21206.828,2106.8252,948.15094,5925.336,0,11142.449,0,8539.867,35375.926,12107.986,1105.7596,32330.5,10954.163,27250.848,22577.32,16516.031,9375.121,22130.932,37966.832,0,0,51731.26,44317.84,22556.826,1271.963,87174.805,8790.304,34104.76,52336.99,15700.844,59431.76,6213.9004,22405.611,75001.13,18239.398,51605.305,31842.3,49212.906,43364.742,8832.967,99510.336,24307.318,11172.419,101917.75,66234.516,51753.945,50680.33,52057.344,
623,215.08312800740313,5.818678,,,,,,,,,,,0,0,0,0,1651.1721,1096.8221,0,0,0,0,0,0,1660.019,0,1076.4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.9143,0,0,0,0,0,3815.2515,0,0,0,0,0,0,0,0,0,
624,215.09213946200623,6.8790092,,,,,,,,,,,1599.2354,3071.2988,4327.7007,2217.6753,1692.4205,1397.1887,3486.6462,2557.077,4826.9546,4841.9688,3701.9814,2622.4622,1159.08,2754.6658,1464.2621,1486.9177,3952.1797,1430.4146,2055.379,2060.1033,3464.532,1122.434,3629.5867,4697.042,4717.3823,1501.1667,2047.2692,2558.5393,2581.3245,3025.6682,938.1659,1250.2029,3536.5732,3962.56,3570.5032,1793.9542,3046.417,4489.416,2580.6929,3151.4878,4512.9546,3833.4377,2359.9734,1570.0199,1983.5035,3171.4011,3694.558,4380.7134,3422.9368,2133.281,4385.905,3853.0242,3182.118,3607.6157,2020.328,3075.7815,3372.85,5090.72,3864.8455,
625,215.12867764642655,9.884431,,,,,,,,,,,7845.772,13009.456,13125.576,12204.097,7763.0166,7381.063,11962.217,12634.929,10633.25,11922.098,13084.059,12959.077,11632.547,11725.504,7442.0337,8871.21,10287.426,8822.304,8381.721,9201.015,12984.575,6180.3364,10783.465,11521.415,11941.633,6556.3525,8579.597,13060.179,11063.702,11821.462,6147.5,8972.11,12740.336,9741.274,9658.067,10688.175,9220.218,10544.981,9306.774,12697.846,10683.187,12134.201,10742.806,8101.2617,10410.208,8590.848,12335.737,10442.552,12631.175,8775.289,10707.676,12030.604,13923.659,15803.246,10040.11,10598.193,13027.989,9533.075,11990.335,
626,215.16415389785845,15.1016655,,,,,,,,,,,1499.2323,2148.4739,1681.4164,1864.0002,1429.5765,2797.9673,1745.0758,2501.1936,2040.6968,1406.8704,1909.9469,1884.5073,3051.9807,1467.339,2710.556,1372.0642,1255.6078,1258.0667,1560.2308,1619.4811,1432.0479,1828.0784,1579.1371,1338.3896,1848.5255,1291.3495,1359.9064,1620.6206,1674.441,1299.8552,1245.8488,1293.6177,1813.416,1186.3252,1627.3685,3823.3628,1595.7019,2013.8306,1582.682,1905.0573,1549.6008,1358.918,2236.6013,1628.2571,1563.1943,1790.8737,2048.0334,1448.5154,1792.6282,1685.9833,1706.2064,1300.2115,1438.9972,1488.5057,1225.5137,1379.0455,1872.7598,2066.4038,1838.6796,
627,215.16475782292338,11.398705,,,,,,,,,,,8289.597,5434.6367,4777.0015,3759.103,7294.907,12745.108,11003.42,9971.372,6638.872,8247.506,11616.107,4501.691,8628.297,2214.5696,12137.772,2335.1174,6599.6553,2186.3027,4023.721,9896.297,15100.717,5156.671,6816.784,6515.155,8668.634,5350.1875,5310.134,5929.3,10462.562,12916.415,2273.601,2133.0955,11292.39,5808.729,3586.91,8074.905,5886.351,25305.906,9451.673,11261.572,7728.391,2739.2864,18412.361,7574.2666,6383.1333,3950.5708,11831.695,6601.7285,10152.476,6742.1836,6813.8853,5022.731,34165.824,49202.293,4625.129,5501.6226,11693.859,9469.652,11951.2705,
628,215.97228392007884,1.5625707,,,,,,,,,,,7685.9287,2416.3088,0,0,6978.271,6691.3037,8123.364,7097.5244,8110.686,0,7692.2256,5625.069,0,0,7204.005,0,8629.632,0,7302.4863,8926.312,10472.568,8204.993,6689.8247,5521.0264,8538.952,0,8939.257,6489.3423,8509.474,0,0,0,7557.469,11778.865,9829.421,0,6311.901,11426.345,9786.722,7612.252,6743.275,4817.1895,7602.632,6715.9756,4661.743,5090.653,7314.1406,7153.41,8896.605,0,9313.353,6594.191,8933.795,9961.643,8157.6426,0,7359.352,0,7605.9307,
629,215.97228970566334,1.5142648,,,,,,,,,,,0,0,3247.3547,0,0,0,0,0,0,6530.366,0,0,8054.918,0,0,0,0,0,0,0,0,0,0,0,0,8820.212,0,0,0,10262.319,0,0,0,0,0,8243.381,0,0,0,0,0,0,0,0,0,0,0,0,0,7688.9175,0,0,0,0,0,8645.567,0,9250.334,0,
630,215.97233265736165,1.8675835,,,,,,,,,,,6005.628,6229.793,6370.643,0,9554.4795,8034.163,5702.324,9261.159,6109.967,5125.0776,6309.7515,5470.9814,6153.5728,0,6654.3267,0,8504.273,0,7110.848,7258.7246,8110.5327,8597.055,6961.461,5544.333,6189.3105,6302.6816,7695.8857,5738.5254,8284.104,5780.0093,0,0,7619.947,10875.246,7844.7734,6464.9014,6188.8735,10220.36,8547.038,6435.3784,5392.5796,7519.2144,6456.5664,8542.129,4778.522,7614.7007,5140.1885,7244.9814,7493.191,5220.0054,9369.614,5190.29,7643.4087,6947.4536,5972.9976,5966.686,5604.0527,6384.6357,5913.0923,
631,216.08751908617396,5.574305,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,872.1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572.5095,0,0,0,0,0,0,1106.4387,0,0,0,0,0,0,0,
632,216.12355560844506,6.2216616,,,,,,,,,,,21679.71,79246.85,80403.21,86976.484,11953.205,0,76249.77,92417.34,68772.02,87229.12,80468.07,115500.695,0,90141.94,0,54824.56,73097.95,33899.7,51702.0,34250.71,102085.55,12364.143,52936.203,81212.2,75647.8,7855.6206,26153.607,91188.15,67477.78,74570.77,10713.08,35844.914,80023.07,46250.496,51486.668,22065.205,49602.51,41836.98,33664.926,80009.34,51869.297,80930.96,39047.543,12947.3545,57660.22,33698.887,79927.53,48406.39,72650.56,43943.71,59170.703,79617.41,97068.27,107777.25,57919.387,71941.31,81233.85,63310.086,81587.66,
633,216.123806688306,5.8990073,,,,,,,,,,,2520.8489,11609.448,13747.2295,13118.027,1592.8888,0,11030.491,16456.42,10997.492,13520.557,11684.924,19646.664,0,13262.502,0,6210.2896,11542.752,4167.0244,6143.1885,4328.049,17408.686,1414.0798,7264.437,11091.695,10416.346,1122.1482,3240.6719,12722.781,9341.884,11150.097,0,4129.7896,11454.955,6953.129,6467.857,2611.6035,6025.8164,5753.446,4314.4995,11567.456,7661.9683,12714.953,5236.1416,1632.9053,7815.9497,4702.563,11557.405,6901.3623,10544.661,5291.794,7252.7715,11624.287,15271.247,17915.246,6877.7847,10601.419,11497.433,9218.656,11557.037,
634,216.12380829646023,13.704359,,,,,,,,,,,452.19257,0,0,0,0,0,0,0,0,2051.2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031.105,0,0,0,0,0,0,0,0,0,0,0,1705.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
635,216.123824001886,14.738719,,,,,,,,,,,0,3496.529,3579.7346,3109.5798,0,0,2484.5193,4652.2373,2784.5073,3656.3247,0,5748.316,0,3387.9958,0,0,2991.7803,0,0,0,4918.905,0,1708.3965,2876.815,2512.3354,0,0,3459.5034,1358.2981,3167.31,0,0,2683.783,1671.6047,0,0,1691.8535,0,0,2781.1653,1923.0741,3510.8083,1486.3274,0,2359.2102,0,2887.1094,1751.9897,1420.1305,0,0,3846.5154,4150.285,4593.495,0,2845.915,2886.5366,2406.744,2909.8572,
636,216.12392355282356,14.044705,,,,,,,,,,,1744.1259,5404.4736,5148.103,5917.023,1046.3877,0,5318.7676,6153.3433,5201.161,6266.665,5848.713,7857.614,0,6624.469,0,4506.924,4907.874,2464.8723,4242.4644,2861.4753,6708.068,1027.4103,3933.2407,6064.7188,5678.7163,628.49475,2023.626,6542.8433,4938.5884,5053.8115,651.7063,2530.937,5544.217,3359.4634,3821.364,1817.838,4033.3745,3254.9097,2739.203,5576.5356,4042.835,5293.099,3072.8538,1125.5432,4724.567,2672.2178,5982.168,3690.0715,5017.3813,3480.955,4450.5767,5801.1807,6947.123,7244.1606,4406.038,4999.0874,5860.959,4869.9756,6002.366,
637,216.12418147396403,10.439248,,,,,,,,,,,0,1757.9141,2918.1672,3233.7266,0,0,0,0,0,0,0,0,0,3550.9521,0,1901.2468,0,0,0,0,0,0,0,0,2585.789,0,0,0,0,1481.1179,0,696.0107,0,0,0,0,0,0,0,0,1918.0083,0,0,599.877,0,1410.0973,0,0,0,0,0,2991.4219,0,0,2081.926,0,0,0,0,
638,217.07123077558686,6.840887,,,,,,,,,,,0,3097.5466,532.09924,0,0,591.2992,1213.5115,0,0,0,0,0,0,0,0,0,1787.8356,0,4017.507,0,2335.6392,0,1424.5875,0,0,0,0,1432.0333,0,0,0,0,1252.7858,0,0,908.65344,0,774.2724,0,1356.4843,783.6982,4966.0654,0,0,901.3148,486.93323,1394.6843,1402.53,1099.168,0,0,2638.8835,0,0,0,6526.8022,1317.1998,0,1322.1614,
639,217.08190910447522,2.9527283,,,,,,,,,,,0,614.28687,1105.1252,0,0,0,1309.7251,0,0,0,1343.1794,2619.9426,1234.5769,0,669.4985,0,0,0,0,2329.4932,0,0,0,0,873.8364,0,0,0,0,0,0,0,1226.812,0,0,0,5401.158,0,2352.34,1302.7328,0,1262.2722,0,0,3588.5176,0,1397.5402,0,1113.6318,1688.4736,0,6297.53,0,0,10340.089,3747.5562,1321.4802,1955.6398,1295.659,
640,217.1076363954464,7.002827,,,,,,,,,,,806.3552,2200.7214,2677.9902,1620.7877,999.8149,913.606,2496.4976,2796.4866,2143.3557,1685.2874,2550.2517,3216.911,0,1484.0822,907.83563,919.6206,2284.0066,698.9059,855.72864,1234.3944,3821.6284,933.4712,1568.5138,2185.3918,1459.7357,784.9826,1271.8396,1650.3799,1320.6351,1614.9152,0,691.6033,2511.8572,1161.2776,1002.80566,661.7112,1483.2943,1926.6963,1390.1139,1752.1948,1836.7787,2750.9683,1980.6049,0,1811.4988,758.87616,1628.3544,1096.647,2344.4272,1534.2384,1059.5157,2432.0713,2147.0273,2615.733,1558.283,1594.3071,2595.1582,1424.7155,1892.6005,
641,217.1078109374347,7.410459,,,,,,,,,,,2329.588,8530.647,9049.662,7080.213,2089.0105,1153.5956,7823.918,10646.03,7698.523,8571.313,8516.572,13064.714,1100.0842,7450.128,1125.3821,3955.9956,11133.93,2836.4854,4103.5776,3479.0532,12967.025,1712.2916,5237.672,6820.831,7328.7188,1406.523,3051.1733,9194.63,6288.021,8444.653,1179.1066,2891.214,8327.879,5332.924,4619.3203,2491.8613,4933.995,4179.2114,3674.6594,7797.322,5743.4204,11457.618,4135.994,1636.2397,5892.033,3428.5144,8269.897,5467.098,7791.5767,4090.6484,5026.2446,8647.334,9453.863,12932.288,4975.2993,8226.632,8261.215,6415.9614,9174.939,
642,218.10298268478775,2.1402426,,,,,,,,,,,0,2015.8967,2067.5825,2683.911,0,0,1660.9763,2980.7656,1608.1122,1802.6864,1711.4835,3121.4797,0,2469.1821,0,1252.9845,1889.5325,1019.96497,751.81104,581.70526,2536.109,0,949.5624,1575.9813,1409.4827,0,391.61954,1773.0881,1222.5542,1418.3278,0,1103.2462,1649.6104,741.91925,719.40924,0,911.92633,663.3436,570.75397,1721.5731,1002.0989,1949.7041,811.5042,0,1238.1968,591.41077,1758.8375,952.18097,1450.0112,555.3302,806.24286,1820.6018,2045.45,2551.4229,749.18335,1213.2582,1836.4462,950.8333,1866.3513,
643,218.10306505985346,4.095767,,,,,,,,,,,2928.8113,2184.59,1780.9575,0,1618.6754,2977.5605,3159.8818,1483.7681,0,2626.6562,3311.0872,2596.1118,1609.0138,0,2774.9888,0,2230.6665,0,1038.4758,1710.4478,2171.3887,0,1835.2327,2129.2424,3439.0562,2697.85,1565.6754,1858.4532,2158.3447,3296.038,0,0,3244.5195,2922.8533,1570.8865,0,3753.5642,1654.8152,1798.7292,3281.863,2400.0454,3084.987,2176.851,1777.3751,7862.3037,1579.683,3303.573,1775.165,2976.1208,2563.0847,1119.6185,7532.513,2229.4895,2367.2034,7225.7705,4952.285,3355.8657,4341.515,3267.8674,
